UniProt_accession,Protein_name,Gene,Length
A0ABR0TUL3,Phosphoglycerate mutase-like protein,QM012_000079,222
A0ABR0TUY7,Uncharacterized protein,QM012_000030,217
A0ABR0TV10,Target of rapamycin complex subunit LST8,QM012_004499,326
A0ABR0TV98,PHF5-like protein,QM012_000319,108
A0ABR0TVL4,5-oxoprolinase,QM012_000396,1353
A0ABR0TVP4,Transcription factor domain-containing protein,QM012_000350,216
A0ABR0TVU1,Methionine aminopeptidase 2,QM012_004769,450
A0ABR0TVV9,Amino acid transporter transmembrane domain-containing protein,QM012_000498,654
A0ABR0TW90,Serine/threonine protein kinase HRR25,QM012_000480,1152
A0ABR0TWG5,Histone acetyltransferase type B catalytic subunit,QM012_000325,520
A0ABR0TWM3,WHIM1 domain-containing protein,QM012_000701,587
A0ABR0TWS0,CP-type G domain-containing protein,QM012_000539,687
A0ABR0TX53,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_000444,524
A0ABR0T4Y2,Phenol 2-monooxygenase,QM012_005361,640
A0ABR0T4Z9,Cytochrome c oxidase assembly protein-like protein cox15,QM012_005376,516
A0ABR0T500,Glycosyl transferase family 1 domain-containing protein,QM012_005478,479
A0ABR0T5I1,Apple domain-containing protein,QM012_005470,490
A0ABR0T5X9,HIG1 domain-containing protein,QM012_004939,191
A0ABR0T6E2,OTU domain-containing protein,QM012_005334,332
A0ABR0T6Q1,J domain-containing protein,QM012_004111,237
A0ABR0T6R3,Sm domain-containing protein,QM012_004032,143
A0ABR0T781,Myb-like domain-containing protein,QM012_003930,377
A0ABR0T7N9,Short chain dehydrogenase/ reductase-like protein,QM012_003984,309
A0ABR0T7R7,Uncharacterized protein,QM012_003911,310
A0ABR0T8A6,Small secreted protein,QM012_003400,147
A0ABR0T8C9,Aromatic amino acid beta-eliminating lyase/threonine aldolase domain-containing protein,QM012_003292,387
A0ABR0T8Y4,DUF2241 domain-containing protein,QM012_002983,152
A0ABR0T978,"Peptidase M49, dipeptidyl-peptidase III",QM012_003392,571
A0ABR0T984,C2H2-type domain-containing protein,QM012_003320,215
A0ABR0T9E7,Uncharacterized protein,QM012_003589,659
A0ABR0T9J9,Uncharacterized protein,QM012_003396,821
A0ABR0T9N3,DASH complex subunit Hsk3 like-domain-containing protein,QM012_003242,108
A0ABR0TA72,Cation/H+ exchanger transmembrane domain-containing protein,QM012_002666,491
A0ABR0TAG1,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002540,494
A0ABR0TBM4,ABC1 atypical kinase-like domain-containing protein,QM012_002333,695
A0ABR0TBW6,Uncharacterized protein,QM012_002287,3993
A0ABR0TBX3,VHS domain-containing protein,QM012_002425,258
A0ABR0TC72,Zn(2)-C6 fungal-type domain-containing protein,QM012_001686,634
A0ABR0TCC3,Fumarylacetoacetase-like C-terminal domain-containing protein,QM012_001692,289
A0ABR0TCM0,DUF1772-domain-containing protein,QM012_001826,165
A0ABR0TCP3,"endo-1,3(4)-beta-glucanase",QM012_001859,336
A0ABR0TD97,DNA2/NAM7 helicase helicase domain-containing protein,QM012_002057,387
A0ABR0TDI6,Phytanoyl-CoA dioxygenase family protein,QM012_001242,292
A0ABR0TDM0,Uncharacterized protein,QM012_002035,153
A0ABR0TDQ5,DNA-directed RNA polymerase RBP11-like dimerisation domain-containing protein,QM012_001323,149
A0ABR0TDR2,Ubiquitin-like domain-containing protein,QM012_001713,635
A0ABR0TDX0,HCP-like protein,QM012_001267,396
A0ABR0TDX8,RING-type domain-containing protein,QM012_001407,590
A0ABR0TDY2,Tryptophan synthase,QM012_002092,722
A0ABR0TEM7,Carrier domain-containing protein,QM012_001619,1980
A0ABR0TFJ6,RPEL repeat protein,QM012_001063,138
A0ABR0TG88,Peptide-methionine (R)-S-oxide reductase,QM012_000886,197
A0ABR0TGF0,TPR-like protein,QM012_009297,472
A0ABR0TGM6,"galacturonan 1,4-alpha-galacturonidase",QM012_009355,444
A0ABR0TGQ7,peptidyl-tRNA hydrolase,QM012_009388,206
A0ABR0TGW3,TFIID subunit TAF5 NTD2 domain-containing protein,QM012_009448,695
A0ABR0TH55,Protein arginine methyltransferase NDUFAF7,QM012_009350,551
A0ABR0THB9,Uncharacterized protein,QM012_008683,209
A0ABR0THN6,Enoyl reductase (ER) domain-containing protein,QM012_009408,369
A0ABR0THN9,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_009337,657
A0ABR0TI58,Uncharacterized protein,QM012_008947,124
A0ABR0TIB5,Acetylxylan esterase,QM012_009422,226
A0ABR0TIF6,Inhibitor I9 domain-containing protein,QM012_008772,99
A0ABR0TIN3,NAD(P)-binding protein,QM012_008165,240
A0ABR0TIZ7,Galactose oxidase,QM012_008285,1115
A0ABR0TJL0,Nuclear protein localization protein 4,QM012_008985,593
A0ABR0TJN1,Mitochondrial 15S rRNA processing factor CCM1-like TPR repeats domain-containing protein,QM012_008311,628
A0ABR0TKB4,TLC domain-containing protein,QM012_007647,457
A0ABR0TKF4,Transcription factor SWI6,QM012_008433,863
A0ABR0TKH1,Uncharacterized protein,QM012_007733,572
A0ABR0TKW7,Wax synthase domain-containing protein,QM012_008654,491
A0ABR0TKZ9,PH domain-containing protein,QM012_008628,808
A0ABR0TLA2,Mediator of RNA polymerase II transcription subunit 19,MED19,343
A0ABR0TLF9,Diaminopropionate ammonia-lyase,QM012_008063,765
A0ABR0TLL1,CCAAT-binding factor domain-containing protein,QM012_008011,887
A0ABR0TLM9,Translation initiation factor eIF2B subunit delta,QM012_007770,520
A0ABR0TLT4,Clock-controlled protein 6,QM012_007901,128
A0ABR0TLX0,Uncharacterized protein,QM012_007931,306
A0ABR0TM62,alpha-L-rhamnosidase,QM012_007764,918
A0ABR0TMC5,proline--tRNA ligase,QM012_008010,618
A0ABR0TMW7,Alpha/beta-hydrolase,QM012_007421,394
A0ABR0TNE3,Pyruvate decarboxylase,QM012_007047,581
A0ABR0TNH2,Small ribosomal subunit protein uS10 domain-containing protein,QM012_007127,117
A0ABR0TNN0,histidine kinase,QM012_006454,774
A0ABR0TNS6,Cysteine protease,QM012_007439,434
A0ABR0TP18,Dynactin subunit 6,QM012_006497,197
A0ABR0TP24,Glycoside hydrolase,QM012_007529,435
A0ABR0TQ77,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007012,499
A0ABR0TQA1,BRCT domain-containing protein,QM012_006702,845
A0ABR0TQF2,peptidylprolyl isomerase,QM012_006521,150
A0ABR0TQR2,U3 small nucleolar ribonucleoprotein protein IMP3,QM012_005806,184
A0ABR0TR13,Peptidase A1 domain-containing protein,QM012_005879,400
A0ABR0TR88,Glucoamylase,QM012_005986,617
A0ABR0TRA6,Uncharacterized protein,QM012_005998,1071
A0ABR0TRM6,Translation initiation factor 5A C-terminal domain-containing protein,QM012_006104,481
A0ABR0TRS6,Pathway-specific nitrogen regulator,QM012_006162,544
A0ABR0TRU4,Uncharacterized protein,QM012_005825,223
A0ABR0TRZ4,DUF1479-domain-containing protein,QM012_006222,480
A0ABR0TSQ3,ribonuclease Z,QM012_006262,982
A0ABR0TSY0,G-patch domain-containing protein,QM012_005988,272
A0ABR0TU38,protein-tyrosine-phosphatase,QM012_004411,318
A0ABR0TU48,REJ domain-containing protein,QM012_004656,429
A0ABR0TUU4,Importin N-terminal domain-containing protein,QM012_000123,1027
A0ABR0TV14,KOW domain-containing protein,QM012_000201,136
A0ABR0TV38,Cyclin N-terminal domain-containing protein,QM012_004564,341
A0ABR0TVA8,Autophagy-related protein 3,QM012_000331,351
A0ABR0TVF0,NAD(P)-binding protein,QM012_000296,366
A0ABR0TVX2,NAD binding Rossmann fold oxidoreductase,QM012_000224,379
A0ABR0TW25,E3 ubiquitin protein ligase,QM012_000521,709
A0ABR0TWH9,PIN domain-containing protein,QM012_000656,226
A0ABR0TWI2,Cyclohexanone monooxygenase,QM012_000723,588
A0ABR0TWN9,Uncharacterized protein,QM012_000537,126
A0ABR0TX58,EXPERA domain-containing protein,QM012_000704,237
A0ABR0T4F6,Cyclase,QM012_005585,319
A0ABR0T4H3,Uncharacterized protein,QM012_005603,304
A0ABR0T651,Vacuolar protein sorting-associated protein 27,QM012_005378,657
A0ABR0T685,Methyltransferase,QM012_005041,301
A0ABR0T6B4,UDP-Glycosyltransferase/glycogen phosphorylase,QM012_005074,843
A0ABR0T6C2,DUF7704 domain-containing protein,QM012_005175,147
A0ABR0T6I9,SAC domain-containing protein,QM012_005057,698
A0ABR0T798,Transcription factor domain-containing protein,QM012_003940,537
A0ABR0T7D5,aldehyde dehydrogenase (NAD(+)),QM012_003854,497
A0ABR0T7Q9,Rhodopsin domain-containing protein,QM012_004043,360
A0ABR0T894,Amidase domain-containing protein,QM012_003388,257
A0ABR0T8C1,Altered inheritance of mitochondria protein 41,AIM41,189
A0ABR0T8F8,SWIB-domain-containing protein,QM012_003848,278
A0ABR0T8J2,PCI domain-containing protein,QM012_003483,564
A0ABR0T8U0,Amidase,QM012_003394,191
A0ABR0T8W7,"Mannan endo-1,6-alpha-mannosidase",QM012_003793,455
A0ABR0T8X2,Uncharacterized protein,QM012_003677,195
A0ABR0TAG0,NodB homology domain-containing protein,QM012_002760,329
A0ABR0TAM6,Kinase,QM012_003159,1327
A0ABR0TB41,NAD(P)-binding protein,QM012_002148,356
A0ABR0TBA6,Anaphase-promoting complex subunit 2,QM012_002219,629
A0ABR0TBD5,NADP-dependent oxidoreductase domain-containing protein,QM012_002249,320
A0ABR0TBH7,LAA1-like C-terminal TPR repeats domain-containing protein,QM012_002707,2025
A0ABR0TBN3,DFDF domain-containing protein,QM012_002752,551
A0ABR0TC30,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,QM012_002488,75
A0ABR0TC32,EKC/KEOPS complex subunit BUD32,QM012_002902,441
A0ABR0TC41,Aminopeptidase,QM012_002836,882
A0ABR0TCJ0,CENP-S associating centromere protein X-domain-containing protein,QM012_002342,254
A0ABR0TCT6,ABC transporter domain-containing protein,QM012_001892,1055
A0ABR0TD46,Zn(2)-C6 fungal-type domain-containing protein,QM012_001997,811
A0ABR0TD85,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_002046,320
A0ABR0TDD2,Uncharacterized protein,QM012_002084,252
A0ABR0TDI4,COP9 signalosome complex subunit 2,QM012_001850,486
A0ABR0TDW4,Amino acid permease/ SLC12A domain-containing protein,QM012_001793,542
A0ABR0TE90,NADH-ubiquinone oxidoreductase B12 subunit,QM012_001232,75
A0ABR0TET8,Uncharacterized protein,QM012_001612,383
A0ABR0TF94,Zn(2)-C6 fungal-type domain-containing protein,QM012_000950,1012
A0ABR0TFB8,Uncharacterized protein,QM012_000969,453
A0ABR0TFC8,MFS general substrate transporter,QM012_001476,462
A0ABR0TFF2,Dipeptidase,QM012_001506,448
A0ABR0TGV9,Uncharacterized protein,QM012_001000,194
A0ABR0TH15,Altered inheritance of mitochondria protein 21,QM012_009507,1115
A0ABR0THI5,GDP/GTP exchange factor Sec2 N-terminal domain-containing protein,QM012_009277,323
A0ABR0THS5,Cytochrome P450,QM012_008843,509
A0ABR0TI03,nitric oxide dioxygenase,QM012_009528,410
A0ABR0TI18,Oxysterol binding protein-like protein,QM012_009331,387
A0ABR0TIV0,Small nuclear ribonucleoprotein G,QM012_008922,81
A0ABR0TJD1,lytic cellulose monooxygenase (C4-dehydrogenating),QM012_008423,327
A0ABR0TJD7,L domain-like protein,QM012_008376,252
A0ABR0TJE6,TFIID-18kDa-domain-containing protein,QM012_008415,330
A0ABR0TJI5,U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase,QM012_008439,434
A0ABR0TJL1,TBP-associated factor 6,QM012_008451,450
A0ABR0TJR1,RNA cytidine acetyltransferase,NAT10,1071
A0ABR0TKN4,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_007792,629
A0ABR0TKV3,"rRNA methyltransferase 2, mitochondrial",QM012_008583,373
A0ABR0TL18,Glutathione reductase,QM012_008443,464
A0ABR0TL61,(S)-ureidoglycine aminohydrolase cupin domain-containing protein,QM012_007605,159
A0ABR0TLJ0,Nuclear pore complex subunit Nup192,QM012_007740,1644
A0ABR0TM09,AMP-dependent synthetase/ligase domain-containing protein,QM012_007071,483
A0ABR0TM93,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_007211,669
A0ABR0TMA0,F-actin-capping protein subunit beta,QM012_007194,265
A0ABR0TMM4,DUF3752 domain-containing protein,QM012_007327,313
A0ABR0TMV3,Xaa-Pro dipeptidyl-peptidase-like domain-containing protein,QM012_007371,302
A0ABR0TN29,Mitochondrial intermediate peptidase,QM012_007464,798
A0ABR0TNT0,SH3 domain-containing protein,QM012_006486,1055
A0ABR0TNV3,Phenylalanine ammonia-lyase,QM012_006529,435
A0ABR0TPA3,Ketoacyl-synt-domain-containing protein,QM012_006372,2973
A0ABR0TPE5,Amine oxidase,QM012_006723,811
A0ABR0TPM4,DUF862-domain-containing protein,QM012_006707,671
A0ABR0TPN5,Uncharacterized protein,QM012_006817,181
A0ABR0TPN9,Uncharacterized protein,QM012_007547,301
A0ABR0TQI6,Prohibitin,QM012_005711,310
A0ABR0TR67,NADP-dependent oxidoreductase domain-containing protein,QM012_007002,287
A0ABR0TRA5,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006001,613
A0ABR0TRF4,D-xylulose reductase,QM012_006046,361
A0ABR0TRJ4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005754,442
A0ABR0TRM5,SSD domain-containing protein,QM012_006941,1104
A0ABR0TRV2,FAD-binding FR-type domain-containing protein,QM012_006196,547
A0ABR0TS01,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_005723,521
A0ABR0TS52,Uncharacterized protein,QM012_005719,361
A0ABR0TSP9,RNI-like protein,QM012_004312,1764
A0ABR0TST4,Bystin-domain-containing protein,QM012_004328,486
A0ABR0TT60,Uncharacterized protein,QM012_004311,928
A0ABR0TT74,Aminomethyltransferase,QM012_004468,461
A0ABR0TTC7,C2H2-type domain-containing protein,QM012_004293,172
A0ABR0TTE3,Uncharacterized protein,QM012_004496,491
A0ABR0TTH9,Pentatricopeptide repeat protein,QM012_004597,614
A0ABR0TTJ8,HTH La-type RNA-binding domain-containing protein,QM012_004461,911
A0ABR0TTK1,Small ribosomal subunit protein mS23,QM012_004598,452
A0ABR0TTM5,Amidase domain-containing protein,QM012_004398,572
A0ABR0TUI4,DH domain-containing protein,QM012_004561,1014
A0ABR0TUP5,J domain-containing protein,QM012_000081,219
A0ABR0TUS6,Methyltransferase domain-containing protein,QM012_004881,275
A0ABR0TUV9,DNA polymerase,QM012_000138,679
A0ABR0TV72,Uncharacterized protein,QM012_000120,205
A0ABR0TV95,CHASE domain-containing protein,QM012_000291,283
A0ABR0TVH1,Uncharacterized protein,QM012_000210,258
A0ABR0TW05,MATE efflux family protein,QM012_004829,648
A0ABR0TX15,Uncharacterized protein,QM012_000687,73
A0ABR0TXA1,Rieske domain-containing protein,QM012_000655,559
A0A1A7MRD3,Large ribosomal subunit protein uL14m,QM012_000552,135
A0ABR0T4F8,Aminoglycoside phosphotransferase domain-containing protein,QM012_005588,293
A0ABR0T4H1,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_005566,589
A0ABR0T4Y3,Uncharacterized protein,QM012_005463,330
A0ABR0T565,Acyltransferase 3 domain-containing protein,QM012_005473,276
A0ABR0T5Q4,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005324,506
A0ABR0T5S2,J domain-containing protein,QM012_005520,647
A0ABR0T5U7,DUF3433 domain containing protein,QM012_005219,1216
A0ABR0T5Y0,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005150,487
A0ABR0T5Z4,Importin N-terminal domain-containing protein,QM012_004951,940
A0ABR0T6G2,Uncharacterized protein,QM012_005409,237
A0ABR0T6G8,Fe2OG dioxygenase domain-containing protein,QM012_005027,369
A0ABR0T6I0,Uncharacterized protein,QM012_005010,137
A0ABR0T6U7,DUF7730 domain-containing protein,QM012_004915,469
A0ABR0T744,Ubiquitin ligase complex F-box protein,QM012_005157,693
A0ABR0T778,AhpC-TSA-domain-containing protein,QM012_004943,265
A0ABR0T7M8,Mediator complex subunit 15 KIX domain-containing protein,QM012_003697,1499
A0ABR0T7S3,Autophagy-related protein 11,QM012_003741,189
A0ABR0T7X6,Stress-response A/B barrel domain-containing protein,QM012_003834,253
A0ABR0T7Z4,VWFA domain-containing protein,QM012_003298,674
A0ABR0T888,Uncharacterized protein,QM012_003385,236
A0ABR0T8G2,Sfi1 spindle body domain-containing protein,QM012_003453,1152
A0ABR0T8H7,Queuine tRNA-ribosyltransferase catalytic subunit 1,QM012_003795,403
A0ABR0T8Z7,EamA domain-containing protein,QM012_002999,199
A0ABR0T991,Uncharacterized protein,QM012_003091,111
A0ABR0T9K0,BIR-domain-containing protein,QM012_003425,833
A0ABR0T9N8,FAS1 domain-containing protein,QM012_003100,488
A0ABR0T9X6,NUC153 domain-containing protein,QM012_003190,739
A0ABR0T9X8,Uncharacterized protein,QM012_002577,201
A0ABR0TAF2,Rhodopsin domain-containing protein,QM012_002739,356
A0ABR0TAZ6,Acyltransferase 3 domain-containing protein,QM012_003213,504
A0ABR0TB15,Zn(2)-C6 fungal-type domain-containing protein,QM012_002128,781
A0ABR0TB92,Uncharacterized protein,QM012_002202,652
A0ABR0TBD4,Cytochrome b5 heme-binding domain-containing protein,QM012_002245,174
A0ABR0TBY6,Kinase-like protein,QM012_002302,425
A0ABR0TC51,Uncharacterized protein,QM012_002917,169
A0ABR0TDC8,"Required for respiratory growth protein 7, mitochondrial",QM012_001897,329
A0ABR0TE16,"glucan 1,3-beta-glucosidase",QM012_001804,458
A0ABR0TE34,Glycogen debranching enzyme,QM012_001435,1541
A0ABR0TE38,C2H2-type domain-containing protein,QM012_001834,609
A0ABR0TEB7,DNA-directed RNA polymerase subunit,QM012_001511,308
A0ABR0TEF6,"Alpha-1,2-mannosyltransferase Kre5",QM012_001462,506
A0ABR0TES6,Rpr2-domain-containing protein,QM012_001678,161
A0ABR0TF56,Rab-GAP TBC domain-containing protein,QM012_001321,729
A0ABR0TF62,Uncharacterized protein,QM012_000913,350
A0ABR0TF85,Dienelactone hydrolase domain-containing protein,QM012_001351,280
A0ABR0TFR1,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_001131,678
A0ABR0TGJ1,Uncharacterized protein,QM012_000930,81
A0ABR0TGK7,GDP-mannose transporter,QM012_009339,368
A0ABR0TGR1,Sm domain-containing protein,QM012_001152,101
A0ABR0TH68,Lactase,QM012_009555,1070
A0ABR0TH99,Fungal N-terminal domain-containing protein,QM012_009395,192
A0ABR0THB4,C3H1-type domain-containing protein,QM012_009288,730
A0ABR0THY9,ACB domain-containing protein,QM012_008807,334
A0ABR0TI08,Spindle pole body-associated protein cut12 domain-containing protein,QM012_008923,455
A0ABR0TIP9,Retinol dehydrogenase 12,QM012_008806,343
A0ABR0TIT5,Malate dehydrogenase,QM012_008215,337
A0ABR0TJ43,LSM complex subunit LSM4,LSM4,126
A0ABR0TJA1,Nucleoside diphosphate kinase,QM012_008396,163
A0ABR0TJC5,Uncharacterized protein,QM012_009072,495
A0ABR0TJG1,SH3 domain-containing protein,QM012_008450,1386
A0ABR0TJJ6,CTLH domain-containing protein,QM012_008460,539
A0ABR0TJR2,Shikimate-5-dehydrogenase,QM012_008178,313
A0ABR0TJT9,Cryptic loci regulator 2 N-terminal domain-containing protein,QM012_008550,157
A0ABR0TJX2,Septin-type G domain-containing protein,QM012_008618,380
A0ABR0TLC9,RTA1 domain protein,QM012_008022,342
A0ABR0TLN7,non-specific serine/threonine protein kinase,QM012_008668,391
A0ABR0TM13,Serine/threonine-protein kinase Tel1,QM012_007739,2929
A0ABR0TM85,"6-phosphogluconate dehydrogenase, decarboxylating",QM012_007179,506
A0ABR0TMM0,Glycerol:H+ symporter-like protein,QM012_007320,634
A0ABR0TMP7,Glucosamine-6-phosphate deaminase,QM012_007342,433
A0ABR0TN21,Ureidoglycolate hydrolase,QM012_007477,281
A0ABR0TNE7,AMP-dependent synthetase/ligase domain-containing protein,QM012_006369,696
A0ABR0TP12,Nucleoporin Nup159/Nup146 N-terminal domain-containing protein,QM012_007322,1498
A0ABR0TP78,Mid2 domain-containing protein,QM012_006650,438
A0ABR0TPB8,Uncharacterized protein,QM012_006688,173
A0ABR0TPG1,Amino acid transporter transmembrane domain-containing protein,QM012_007392,474
A0ABR0TPG8,hydroxyacylglutathione hydrolase,QM012_006757,279
A0ABR0TPY1,T6SS Phospholipase effector Tle1-like catalytic domain-containing protein,QM012_006894,565
A0ABR0TQG0,Concanavalin a-like lectins glucanase,QM012_006914,266
A0ABR0TQL8,Uncharacterized protein,QM012_005751,335
A0ABR0TQN2,Uncharacterized protein,QM012_005766,162
A0ABR0TQQ3,Thioesterase domain-containing protein,QM012_005787,149
A0ABR0TQY1,Zn(2)-C6 fungal-type domain-containing protein,QM012_006685,714
A0ABR0TSA7,Uncharacterized protein,QM012_006342,123
A0ABR0TSJ9,Uncharacterized protein,QM012_004240,180
A0ABR0TSQ4,Xaa-Pro dipeptidyl-peptidase C-terminal domain-containing protein,QM012_006340,593
A0ABR0TSR4,"Signal recognition particle, SRP19 subunit",QM012_006277,278
A0ABR0TTJ5,BHLH domain-containing protein,QM012_006218,110
A0ABR0TTK7,ATP-dependent RNA helicase,QM012_006233,565
A0ABR0TUF3,SGF29 C-terminal domain-containing protein,QM012_004289,350
